LabID,📚 Projects (collecting data),🏫 Institution,🌍 Country,Lab Name,PI(s),Additional Members,Lab website,Areas of study,Methods
NOLALab,MB3-NIRS,University of Potsdam,Germany,Neurocognition of Language Lab,Isabell Wartenburger,Mireia Marimon,https://www.uni-potsdam.de/en/nola/index,,
NUP_Babies,MB5,Neapolis University Pafos,Cyprus,Department of Psychology,Loukia Taxitari,,,"Language,Bidialectalism",
nusinfantlanguagecentre,"MB1,MB1B,MB1G",National University of Singapore,Singapore,Infant and Child Language Centre,Leher Singh,,https://blog.nus.edu.sg/babytalk/,,
nyulearn,MB3,New York University,United States,NYU LEARN Lab,Sudha Arunachalam,"Lily Carroll,Goldie Segol",https://wp.nyu.edu/learnlab/,,
palCambridge,"MB2,MB-ManyWebcams",University of Cambridge,United Kingdom,Prediction and Learning Lab,Rebecca Lawson,"Eleanor S. Smith,Addison Billing,Levente Baljer",https://www.lawsonlab.co.uk/,,
PKUSu,"MB2,MB4",Peking University,China,Developmental and Comparative Psychology Lab,Yanjie Su,"Yiyi Wang,Yanwei Wang,Jiaxuan Zhao",https://www.phylopsy.org/institution/laboratory-of-developmental-and-comparative-psychology,,
potsdam,MB1-Africa,University of Potsdam,Germany,,Natalie Boll-Avetisyan,Paul Okyere Omane,https://www.uni-potsdam.de/en/ling/researchgroups/developmental-psycholinguistics,,
purdueinfantspeech,"MB1,MB1L",Purdue University,United States,Purdue Infant Speech Lab,Amanda Seidl,,http://www2.psych.purdue.edu/~;babylab/speech/speechhome.html?_ga=2.211365525.1043924440.1696351300-643169717.1696351300,,
RLTHBICCC,MB3,Tsinghua University,China,Child Cognition Center,Stella Christie,Qiuchen Ma,https://www.tsinghuakidlab.com/en/,,
rohoBabylab,"MB3,MB5","""Royal Holloway, University of London""",United Kingdom,Royal Holloway Baby Lab,Jeanne L. Shinskey,,http://www.pc.rhul.ac.uk/sites/babylabnew/,,
RUCALC,MB5,Rutgers University,United States,Cognition and Learning Center,Jenny Wang,,,,
saxelab,"MB-AtHome,MB2,MB5",Massachusetts Institute of Technology,United States,Saxelab,Rebecca Saxe,"Gal Raz,Emily M. Chen",https://saxelab.mit.edu/,,
scaffoldingCognitionStanford,"MB5,MB7",Stanford University,United States,The Scaffolding of Cognition Team,Cameron Ellis,Emily M. Chen,https://soc.stanford.edu/,"Attention,Brain development,Cognitive development,Event Segmentation,Face perception,Language,Memory,Multi-modal attention,Spatial cognition,Visual perception","MRI/fMRI,Eye-tracking (mobile),Central looking time,Head cam,High-amplitude sucking,Online studies,non-LENA naturalistic audio recordings,Parent surveys,Preferential looking"
seedCUHKSZ,MB5,Chinese University of Hong Kong-Shenzhen,China,SEED Lab,Guangyu Zeng,,https://seed-lab.notion.site/Meet-the-Team-1301c68467b780a6b2d6c120312e2c24,"Autism,Attention,Developmental disorders,Face perception,Individual differences,Imitation,Social cognition","Eye-tracking (monitor),fNIRS,Free-play interactions,Live interaction,""Physio (e.g., heart rate, pulse ox)"",Salivary hormones"
seedlabUIUC,"MB3-NIRS,MB5,MB5N,MB6",University of Illinois at Urbana-Champaign,United States,the Study of Early Experiences on Development (SEED) Lab,Caroline Kelsey,,https://theseedlab.web.illinois.edu/,Social cognition,"EEG,Eye-tracking (monitor),""Physio (e.g., heart rate, pulse ox)"",fNIRS,Preferential looking"
SETUlab,MB5,South East Technological University,Ireland,,Dean McDonnell,,,,
SkidLSDLab,MB2,Skidmore College,United States,Skidmore Language and Social Development Lab,Jessica Sullivan,,https://www.skidmore.edu/developing_minds_center/index.php,,
SMHSU,MB1-Africa,Sefako Makgatho Health Sciences University,South Africa,,Mikateko Ndhambi,,,,
socallabUCSD,"MB2,MB3-NIRS,MB4,MB5","""University of California, San Diego""",United States,Social Cognition and Learning Lab,Lindsey J. Powell,"Meg Pierce,Alexis Smith-Flores,Bill Pepe,Lauren Smith",https://socallab.ucsd.edu/,,
socialcogUmiami,"MB1,MB-ManyWebcams,MB5,MB5N,MB6",University of Miami,United States,Social Cognition Lab,Elizabeth A. Simpson,Tiffany S. Leung,https://scl.psy.miami.edu/,"Attention,Social cognition,Face perception,Imitation,Empathy,Emotion,Individual differences","Eye-tracking (monitor),Online studies,Salivary hormones,Parent surveys,Free-play interactions"
SocialMindsMichigan,MB5,University of Michigan,United States,Social Minds Lab,Felix Warneken,Eleanor Gao,https://sites.lsa.umich.edu/warneken/,"Cognitive development,Fairness,Empathy,Emotion,Social cognition,Social development,Prosocial behaviors","Eye-tracking (monitor),Live interaction,Online studies,Species comparisons,Cross-cultural"
sociocognitivelab,"MB2,MB3,MB5","University of Oslo,MultiLing",Norway,Socio-cognitive lab,Natalia Kartushina,"Audun Rosslund,Silje Hagelund",https://www.hf.uio.no/multiling/english/topics/lab/index.html,"Language,Bilingualism,Bidialectalism","Eye-tracking (monitor),Free-play interactions,Online studies,Parent surveys,Preferential looking"
somaffectLJMU,,Liverpool John Moores University,United Kingdom,SomAffect,Ingrid Boedker,,,"Mental health,Brain development,Social cognition,Sleep,Social development,Touch,Parent-infant synchrony","""Physio (e.g., heart rate, pulse ox)"",Salivary hormones,Live interaction,Online studies,Parent surveys,Naturalistic observation"
speakinlab,"MB1N,MB3","Czech Academy of Sciences,Charles University",Czechia,speakinlab,"Kateřina Chládková,Filip Smolík,Martina Dvořáková","Zuzana Ocelakova,Nikola Paillereau,Monika Kučerová,Katerina Kynclova",http://speakinlab.cz/,,
StockholmBL,MB3,Stockholm University,Sweden,Stockholm Babylab,Ellen Marklund,"Iris-Corinna Schwarz,Lisa Gustavsson,Elísabet Eir Cortes",https://www.su.se/english/research/research-groups/stockholm-babylab,,
SussexBabyLab,MB5,University of Sussex,United Kingdom,Sussex Baby Lab,"Alice Skelton,Anna Franklin",,https://www.sussex.ac.uk/babylab/,Visual perception,"Eye-tracking (monitor),EEG,Head cam,Preferential looking"
tauccd,"MB2,MB3,MB5,MB5N",Tel Aviv University,Israel,Tel Aviv University Center for Cognitive Development ,Sagi Jaffe-Dax,"Lital Shapiro,Manar Khalaila,Coral Kfir,Romi Livne",https://www.babylab.sites.tau.ac.il/?lang=en,,"Eye-tracking (monitor),Eye-tracking (mobile),fNIRS,Central looking time,Preferential looking,""Reaching (e.g., choice task)"""
ToMcdlSalzburg,MB-ManyWebcams,University of Salzburg,Austria,ToM Child Development Lab,Josef Perner,"Anna Krämer,Beate Priewasser",,,
trainorlab,MB1,McMaster University,Canada,"Auditory Development Lab, LIVELab",Laurel J. Trainor,Haley E. Kragness,https://trainorlab.mcmaster.ca/,,
TREESUW,MB3,University of Wisconsin–Madison,United States,The TREES Lab,Melisa Carrasco,,https://neurology.wisc.edu/research-and-labs/trees-lab/,,
uchunibadan,MB1-Africa,University of Ibadan,Nigeria,Institute of Child Health ,Bolanle M. Oyundoyin,Kofoworola Adediran,https://com.ui.edu.ng/index.php/ICH,,
UCLICL,MB5,University College London,United Kingdom,Infant Child Lab (ICL),Rana Abu-Zhaya,,,Language,"Headturn preference,Preferential looking,Free-play interactions"
UDeLab,MB3-NIRS,University of Deusto,Spain,University of Deusto Psycholinguistics Lab,Irene de la Cruz-Pavía,,,,
udsSaarland,MB1,"Saarland University,Aarhus University,Addis Ababa University",Germany,KinderProjekt Saarbrücken,Gisa Aschersleben,,https://www.uni-saarland.de/lehrstuhl/aschersleben/forschung/kinderprojekt.html,,
UIUCinfantlab,MB2,University of Illinois at Urbana-Champaign,United States,Infant Lab,"Renée Baillargeon,Cynthia Fisher,Daniel C. Hyde","Amanda Rose Yuile,Yukun Yu,Yiyu Liu",https://infantcognition.web.illinois.edu/,,
UIWcarl,"MB4,MB5,MB6",University of the Incarnate Word,United States,UIW Child and Adolescent Research Lab,Teresa Taylor-Partridge,,https://www.facebook.com/uiwchild,"Attention,Cognitive development,Face perception,Individual differences,Social cognition,Social development","EEG,Preferential looking,Parent surveys"
UMDLDev,MB3,University of Maryland,United States,"Language Development Laboratory, University of Maryland",Rochelle Newman,,http://langdev.umd.edu/,,
unicph,"MB2,MB3-NIRS",University of Copenhagen,Denmark,Centre for Early Childhood Cognition,"Dora Kampis,Victoria Southgate",Judith L. Krief,https://psychology.ku.dk/ecc-en/,,
unijos,MB1-Africa,University of Jos,Nigeria,,Evans Binan Dami,,,,
UNLVmusiclab,"MB1,MB1L,MB5","""University of Nevada, Las Vegas""",United States,Auditory Cognition and Development Lab,Erin E. Hannon,"Karli M. Nave,Rodica R. Constantine,Jared W. Leslie",https://unlvmusiclab.wixsite.com/website,,
UPFbabylab,"MB1G,MB3",Universitat Pompeu Fabra,Spain,Laboratori de Recerca en Infancia,Nuria Sebastian-Galles,Chiara Santolin,https://www.upf.edu/es/web/cbclab/bebes_recerca,,
UPSAlaboratorio,"MB2,MB3,MB3-NIRS,MB5",Pontificia Universidad Javeriana,Colombia,UPSAlaboratorio,,,,,
usiuAfrica,MB1-Africa,United States International University–Africa,Kenya,,Dana M. Basnight-Brown,,,,
USS,MB5,Universidad San Sebastián,Chile,Universidad San Sebastián,Jessica Vidal,,,,
UTHKigali,"MB1-Africa,MB5","University of Rwanda,University Teaching Hospital of Kigali",Rwanda,,Febronie Mushimiyimana,Juliette Unyuzumutima,,Attention,
UTS,,University of Technology Sydney,Australia,Psychology,Liquan Liu,,,,
voldaLab,MB5,Volda University College,Norway,,Audun Rosslund,,,,
warksbabylab,"MB3,MB5",University of Warwick,United Kingdom,Warks Baby Lab,Suzanne Aussems,"Teruni Ahamat,Lauren Hester",https://warwick.ac.uk/fac/sci/psych/research/language/cdlab/,,
weescienceEdinburgh,"MB1,MB1L,MB3,MB3-NIRS",University of Edinburgh,United Kingdom,Wee Science,"Mitsuhiko Ota,Barbora Skarabela,Hugh Rabagliati,Hilary Richardson",,https://www.weescience.ppls.ed.ac.uk/,,
weltentdeckerZurich,"MB1,MB1B,MB1G,MB1L,MB3,MB3L,MB4,MB5",University of Zurich,Switzerland,Developmental Psychology: Infancy and Childhood (kleine Weltentdecker),Moritz Daum,"Stephanie Wermelinger,Lisa Wagner,Flavia Jessica Pfister,Joanna M. Rutkowska",https://www.psychology.uzh.ch/en/areas/dev/devpsy/Weltentdecker.html,,
WieKi,"MB3-NIRS,MB5",University of Vienna,Austria,Wiener Kinderstudien,Stefanie Hoehl,Christina Schaetz,https://www.kinderstudien.at/,,
WORDlab,MB5,University of Sussex,United Kingdom,The WORD Lab,Jessica S. Horst,,,,
wsiGoettingen,"MB1,MB1B,MB1T,MB5,MB5N",University of Göttingen,Germany,WortSchatzInsel,Nivedita Mani,"Matthias Lippold,Melanie S. Schreiner,Elena C. Altmann",https://www.psych.uni-goettingen.de/de/lang/wsi,"Cognitive development,Human-computer interaction,Individual differences,Language,Social learning,Social cognition","Eye-tracking (mobile),Eye-tracking (monitor),EEG,Free-play interactions,Live interaction,Parent surveys,Preferential looking,Psychometrics"
WSUMARCS,"MB2,MB4,MB5",Western Sydney University,Australia,MARCS-Babylab,"Liquan Liu,Zhen Zeng","Antonia Götz,Brayden Condie",https://www.westernsydney.edu.au/babylab,,
yonseichild,"MB4,MB4I,MB5",Yonsei University,South Korea,Developmental Research Lab,Hyun-joo Song,,https://yonseichild.wixsite.com/labsite,"Social cognition,Language","Central looking time,LENA,Preferential looking,Live interaction"
