LabID,📚 Projects (collecting data),🏫 Institution,🌍 Country,Lab Name,PI(s),Additional Members,Lab website,Areas of study,Methods
DevlabAU,"MB2,MB5",Aarhus University,Denmark,Developmental Cognitive Science Research Unit,"Peter Krøjgaard,Osman S. Kingo,Trine Sonne",,https://psy.au.dk/forskning/udviklingspsykologi/cogito-boerns-kognitive-udvikling,"Event Segmentation,Social cognition,Memory,Numerical cognition,Technoference",Eye-tracking (monitor)
DevLabMTA,"MB4,MB4I",The Academic College of Tel Aviv-Yaffo,Israel,MTA Developmental Lab,"Ronit Roth-Hanania,Daphna Ginio Dollberg","Inbal Marcu,Adi Hayden,Niran Klein,Michal Dvir Koren",,,
DMW_UNO_Lab,MB5,University of Nebraska at Omaha,United States,Developmental Movement & Wellbeing Lab,Danae Dinkel,,https://www.unomaha.edu/college-of-education-health-and-human-sciences/physical-activity-in-health-promotion-research/dmw/index.php,"Motor development,Social development,Individual differences,Mental health","Free-play interactions,Parent surveys"
DurhamBabylab,"MB-AtHome,MB5",Durham University,United Kingdom,Durham Babylab,Samuel H. Forbes,"Lucy Edgar,Lauryn Clucas",,,
dutchbabylabs (NEED TO UPDATE),MB1N,"Radboud University,Leiden University,Utrecht University",Netherlands,Dutch babylabs,"Paula Fikkert,Claartje Levelt,Caroline Junge",Laura E. Hahn,,,
earlysocogFM,"MB1,MB5",Franklin & Marshall College,United States,Early Social Cognition Lab,Lauren H. Howard,,https://www.dax.fandm.edu/early-social-cognition,,
ecclMIT,MB2,Massachusetts Institute of Technology,United States,Early Childhood Cognition Lab,Laura Schulz,Shengyi Wu,https://eccl.mit.edu/,,
ELANlab,MB5,Cardiff University,United Kingdom,ELAN lab,Dean D'Souza,,www.elanlab.co.uk,"Attention,Brain development,Developmental disorders,Language","EEG,Eye-tracking (mobile),Eye-tracking (monitor),fNIRS,Free-play interactions,Central looking time,Live interaction,Preferential looking,Parent surveys"
ellaAuckland,"MB4,MB5",The University of Auckland | Waipapa Taumata Rau,New Zealand,Early Learning Lab (ELLA),Annette M. E. Henderson,Florian Markus Bednarski,https://www.earlylearning.ac.nz/,"Social cognition,Social development,Causal reasoning,Emotion,Human-computer interaction","Eye-tracking (monitor),Central looking time,Free-play interactions,Preferential looking,""Physio (e.g., heart rate, pulse ox)"",Psychometrics"
elpGeorgetown,MB1G,Georgetown University,United States,Early Learning Project,Rachel Barr,Joscelin Rocha-Hidalgo,https://elp.georgetown.edu/,,
emlASU,"MB3,MB4",Arizona State University,United States,Emerging Minds Lab,Kelsey Lucca,,https://www.emergingmindslab.org/,,
ENCoDe ,MB5,Binghamton University,United States,Early NeuroCognitive Development team,Stefania Conte,Olive Nichols,https://sites.google.com/binghamton.edu/encode/home,"Attention,Autism,Social cognition,Face perception","EEG,MRI/fMRI,Central looking time,""Physio (e.g., heart rate, pulse ox)"""
ENIG,,Technion,Israel,Educational Neuroimaging Group,Tzipi Horowitz-Kraus,,,,
epsyRUB,"MB3,MB4,MB-AtHome",Ruhr University Bochum,Germany,Developmental Psychology,Sabine Seehagen,Anna Exner,https://www.epsy.psy.ruhr-uni-bochum.de/,,
escompicbsLeipzig,MB1,Max Planck Institute for Human Cognitive and Brain Sciences,Germany,NA,Christine Michel,,,,
